ProductID,ProductName,Category,Region,Date,UnitsSold,Price,Discount,GrossSales,DiscountAmount,NetSales,COGS,Profit
427ac669,Car Beauty,Books,North America,2023-07-07,26,364.77,10,9484.02,948.4,8535.62,4226.83,4308.79
f4f7998a,School Furniture,Beauty,South America,2023-10-12,49,147.84,5,7244.16,362.21,6881.95,4242.19,2639.76
0c0f55a0,Science Clothing,Clothing,North America,2022-05-25,46,216.82,0,9973.72,0.0,9973.72,4904.26,5069.46
6ca9789e,Number Books,Electronics,North America,2024-06-26,23,427.41,0,9830.43,0.0,9830.43,5557.57,4272.86
2965a665,Resource Clothing,Furniture,Asia,2023-12-09,3,85.93,0,257.79,0.0,257.79,118.79,139.0
ed127bfb,Man Books,Electronics,Europe,2023-11-18,32,85.68,5,2741.76,137.09,2604.67,1045.45,1559.22
0faec32a,Around Clothing,Electronics,South America,2024-06-18,32,173.63,5,5556.16,277.81,5278.35,3296.6,1981.75
f4467742,Listen Furniture,Electronics,South America,2022-08-23,2,324.58,15,649.16,97.37,551.79,241.58,310.21
b30eecd8,Boy Clothing,Clothing,Europe,2023-11-02,19,431.77,0,8203.63,0.0,8203.63,5678.08,2525.55
82a3c789,Sea Clothing,Electronics,North America,2024-12-02,24,45.98,5,1103.52,55.18,1048.34,606.86,441.48
e1073559,True Books,Furniture,Asia,2022-02-12,29,443.21,20,12853.09,2570.62,10282.47,5433.97,4848.5
214ce36b,Nature Clothing,Books,Australia,2024-03-20,16,73.89,10,1182.24,118.22,1064.02,552.16,511.86
413f30c4,Health Clothing,Furniture,Europe,2024-06-02,50,187.54,10,9377.0,937.7,8439.3,4534.4,3904.9
855eafaf,Central Books,Beauty,Europe,2022-09-11,49,7.67,5,375.83,18.79,357.04,200.46,156.58
169d7361,Street Books,Books,Australia,2022-03-18,23,280.69,15,6455.87,968.38,5487.49,3804.73,1682.76
6be4493a,Involve Furniture,Books,Australia,2022-06-06,39,402.65,5,15703.35,785.17,14918.18,6994.06,7924.12
e9cdce02,Dream Furniture,Clothing,Europe,2023-08-17,4,25.37,15,101.48,15.22,86.26,40.49,45.77
029300f4,Company Beauty,Electronics,South America,2023-06-22,4,81.3,5,325.2,16.26,308.94,190.35,118.59
8444187d,Fish Beauty,Electronics,Australia,2023-05-16,8,207.2,20,1657.6,331.52,1326.08,598.1,727.98
f8ddd89c,Development Furniture,Beauty,South America,2021-12-24,13,200.0,15,2600.0,390.0,2210.0,1136.86,1073.14
3f918ced,Then Furniture,Books,South America,2022-09-03,30,495.92,10,14877.6,1487.76,13389.84,5855.52,7534.32
62e19d40,Miss Furniture,Electronics,Australia,2023-05-09,19,195.19,0,3708.61,0.0,3708.61,2262.44,1446.17
8ba076ff,Executive Furniture,Furniture,Europe,2022-12-03,23,415.9,5,9565.7,478.29,9087.41,5442.74,3644.67
